id,full_name,employment_status_code,ethnicity,gender,city,state,company,employee_number,original_hire,last_hire,seniority_date,seniority_years,termination_date,termination_reason,termination_reason_code,termination_type,effective_date,job,job_change,reason,employment_type,job_family,org_level_1,org_level_2,org_level_2_manager_first_mi_last_suffix,supervisor_name_unsecured,work_location,location
1981,April Mills,T,White,Female,Lake Tiffany,CA,MKN,1440,2018-03-13,2018-06-18,2018-03-13,6.0,2019-09-13,Retired,TRC220,Voluntary,2019-06-16,Forensic psychologist,False,,Contractor,Sales,Springline,Product Dept,Ruben Mendez,Rebecca Robertson,Headquarters,"Lake Tiffany, CA"
1982,Nathan Boyd,A,Black,Non-Binary,New Lawrence,FL,Springline,8417,2021-12-13,2022-08-15,2021-12-13,3.0,,,,,2023-02-22,"Engineer, agricultural",False,Dream act buy economy me.,Part-Time,Product,Springline,Audit,Ryan Chung,Jessica Logan,Regional Office,"New Lawrence, FL"
1983,Ashley Cooper,A,Asian,Male,West Jocelynburgh,WA,Springline,3887,2020-04-13,2021-02-20,2020-04-13,4.0,,,,,2021-10-12,Neurosurgeon,False,,Contractor,Profesional,Springline,Audit,Veronica Martin,Lindsey Reed,Remote,"West Jocelynburgh, WA"
1984,Danny Bell,A,Asian,Non-Binary,Maryborough,NY,Springline,8628,2022-10-19,2023-04-04,2022-10-19,2.0,,,,,2023-10-25,Chartered legal executive (England and Wales),False,Beautiful place into security less.,Full-Time,Product,Springline,Finance,Kurt Wilson,Christopher Ellis,Regional Office,"Maryborough, NY"
1985,Alexander Goodman,T,Black,Female,Port Debra,WA,MKN,8505,2022-02-28,2023-01-28,2022-02-28,2.0,2024-03-03,Resigned,TRC773,Transfer,2023-02-12,Jewellery designer,False,Eight nothing opportunity also inside.,Contractor,Engineering,Springline,Finance,Monica Campos,Amanda Whitaker,Regional Office,"Port Debra, WA"
1986,Beth Vasquez,A,Asian,Female,Melissaport,NY,MKN,1710,2019-02-06,2019-05-12,2019-02-06,6.0,,,,,2020-03-08,"Therapist, speech and language",False,Live three travel.,Full-Time,Profesional,Springline,Product Dept,Dr. Madeline Brown,Jacob Schaefer,Remote,"Melissaport, NY"
1987,Angel Jones,T,Hispanic,Female,Poolebury,FL,MKN,7090,2015-07-12,2016-04-03,2015-07-12,9.0,2017-01-10,Contract Ended,TRC507,Voluntary,2016-12-10,Academic librarian,False,,Contractor,Product,Springline,Sales Dept,Sheila Hall,Mrs. Mary Johnson,Headquarters,"Poolebury, FL"
1988,Darren Smith,A,Black,Non-Binary,Perezburgh,NY,MKN,2588,2024-01-15,2024-11-26,2024-01-15,1.0,,,,,2025-10-16,"Doctor, hospital",False,,Full-Time,Engineering,Springline,Audit,Rodney Stevens,Charles Daniels,Regional Office,"Perezburgh, NY"
1989,Justin Keith,T,Hispanic,Non-Binary,Lake Steven,CA,MKN,7278,2022-07-16,2023-07-01,2022-07-16,2.0,2024-07-30,Retired,TRC397,Involuntary,2023-09-18,Newspaper journalist,False,,Contractor,Sales,Springline,Audit,Catherine Garcia,Michael Donaldson,Regional Office,"Lake Steven, CA"
1990,Michael Duran,A,Black,Male,South Kyle,NY,MKN,5197,2020-07-27,2021-04-27,2020-07-27,4.0,,,,,2021-10-21,"Journalist, magazine",False,Later itself kind design identify development.,Contractor,Profesional,Springline,Sales Dept,James Larsen,Daniel Beltran,Remote,"South Kyle, NY"
1991,Robin Patterson,T,White,Non-Binary,South Michael,TX,MKN,6658,2016-12-15,2017-09-04,2016-12-15,8.0,2018-09-05,Laid Off,TRC852,Transfer,2018-02-17,Theme park manager,False,,Part-Time,Engineering,Springline,Product Dept,Richard Williams,David Smith,Remote,"South Michael, TX"
1992,Amber Baker,A,White,Male,West Meaganville,FL,Springline,6820,2015-05-22,2015-11-08,2015-05-22,9.0,,,,,2015-11-13,"Programme researcher, broadcasting/film/video",False,,Contractor,Profesional,Springline,Product Dept,Phyllis Thomas,Stephen Lutz,Headquarters,"West Meaganville, FL"
1993,Jacqueline Jordan,A,Hispanic,Female,North Michael,FL,MKN,9576,2024-10-21,2025-05-25,2024-10-21,0.0,,,,,2025-10-09,"Surveyor, rural practice",False,,Contractor,Sales,Springline,Product Dept,Larry Shaffer,Shane Tran,Remote,"North Michael, FL"
1994,Katrina Wilcox,A,Black,Male,Travischester,WA,Springline,7966,2021-04-23,2021-10-22,2021-04-23,3.0,,,,,2022-08-30,"Nurse, learning disability",False,,Full-Time,Profesional,Springline,Audit,Cheryl Warren,Michael Johnson,Remote,"Travischester, WA"
1995,Dr. Danielle Mccann,T,White,Female,Wilsonhaven,WA,MKN,9171,2018-02-04,2019-01-26,2018-02-04,7.0,2021-09-02,Laid Off,TRC269,Involuntary,2019-07-31,Technical author,False,,Intern,Product,Springline,Product Dept,Lisa Irwin,Stephen Anderson,Headquarters,"Wilsonhaven, WA"
1996,Jose Miller,T,Hispanic,Female,East Megan,NY,Springline,2488,2024-11-02,2025-08-10,2024-11-02,0.0,2025-02-19,Laid Off,TRC181,Transfer,2025-02-19,"Programmer, systems",False,,Full-Time,Product,Springline,Finance,Zachary Stanley,Robert Banks,Remote,"East Megan, NY"
1997,Taylor Long,T,Asian,Male,Lake Dianeshire,NY,Springline,5482,2019-04-16,2020-01-31,2019-04-16,5.0,2022-02-15,Retired,TRC406,Transfer,2020-08-01,Private music teacher,False,,Full-Time,Engineering,Springline,Sales Dept,Justin Webb,Angela Mccullough,Regional Office,"Lake Dianeshire, NY"
1998,Jordan Nelson,T,Asian,Non-Binary,Lake Kyle,FL,Springline,9413,2024-07-23,2025-02-08,2024-07-23,0.0,2025-02-19,Laid Off,TRC141,Transfer,2025-02-19,Data processing manager,False,,Intern,Profesional,Springline,Finance,Michelle Hicks,Amanda Jensen,Headquarters,"Lake Kyle, FL"
1999,Geoffrey Elliott,A,White,Male,South Tyler,WA,MKN,1831,2017-04-22,2017-08-21,2017-04-22,7.0,,,,,2017-08-25,Research scientist (medical),False,Recent off weight determine toward.,Contractor,Profesional,Springline,Finance,James Golden,Sean Cox,Headquarters,"South Tyler, WA"
2000,Brandon Castro,T,Black,Non-Binary,Aprilfort,CA,Springline,8747,2017-10-04,2017-10-14,2017-10-04,7.0,2018-11-20,Laid Off,TRC652,Transfer,2018-07-01,Herpetologist,False,,Contractor,Engineering,Springline,Product Dept,Cameron Olson,Mark Nguyen,Headquarters,"Aprilfort, CA"
2001,Pamela Alvarado,Active,Hispanic,Non-Binary,Miami,FL,BGBC,9448,2019-10-27,,,,2021-03-20,,Retired,Retirement,2020-09-06,Software Engineer,,,Active,,Human Resources,Recruitment,,Brandon Jackson,Regional Office,Miami
2002,Ryan Hayden,Active,White,Non-Binary,Houston,NY,BGBC,9263,2016-12-29,,,,2021-03-07,,Retired,Voluntary,2023-09-28,HR Specialist,,,Active,,Engineering,Advertising,,Debra Smith,Remote,Houston
2003,Lisa Allen,Terminated,White,Non-Binary,Los Angeles,FL,BGBC,6295,2019-04-29,,,,,,,,2024-03-02,Software Engineer,,,Terminated,,Marketing,Recruitment,,Nathan White,Remote,Los Angeles
2004,Nicole Collins,Active,Hispanic,Non-Binary,Los Angeles,CA,BGBC,1569,2016-02-29,,,,,,,,2020-04-05,Sales Representative,,,Active,,Human Resources,Client Relations,,John Anderson,Remote,Los Angeles
2005,Christopher Lamb,Terminated,Hispanic,Non-Binary,Los Angeles,TX,BGBC,4139,2015-08-05,,,,,,,,2024-06-30,Marketing Coordinator,,,Terminated,,Engineering,Client Relations,,Erik Hinton,Headquarters,Los Angeles
2006,Tammy Kidd,Terminated,Hispanic,Female,Los Angeles,CA,BGBC,2752,2022-12-23,,,,,,,,2024-10-17,Software Engineer,,,Terminated,,Engineering,Client Relations,,William Moore,Headquarters,Los Angeles
2007,Robin Bishop,Active,Black,Male,New York,FL,BGBC,8746,2015-08-29,,,,2016-06-06,,Resigned,Voluntary,2021-11-11,Marketing Coordinator,,,Active,,Marketing,Recruitment,,Claire Payne,Regional Office,New York
2008,Erica Adams,Terminated,Black,Non-Binary,Houston,FL,BGBC,8129,2016-05-03,,,,,,,,2017-08-31,HR Specialist,,,Terminated,,Human Resources,Advertising,,Elizabeth Nelson,Regional Office,Houston
2009,Madison Jones,Active,Hispanic,Male,Seattle,NY,BGBC,4931,2021-07-08,,,,,,,,2021-10-16,Sales Representative,,,Active,,Engineering,Software,,Jordan Mason,Remote,Seattle
2010,Justin Perez,On Leave,Black,Male,Houston,CA,BGBC,2818,2016-11-11,,,,,,,,2019-02-20,HR Specialist,,,On Leave,,Human Resources,Client Relations,,Jeremy Bentley,Remote,Houston
2011,Jeffrey Carroll,On Leave,Hispanic,Female,Los Angeles,NY,BGBC,6978,2015-11-27,,,,2016-07-16,,Laid Off,Voluntary,2024-02-19,Sales Representative,,,On Leave,,Human Resources,Software,,Krystal Gates,Remote,Los Angeles
2012,Emily Rogers,Terminated,Black,Male,Houston,FL,BGBC,1733,2019-08-15,,,,,,,,2022-03-19,Sales Representative,,,Terminated,,Sales,Software,,Karen Gonzales,Remote,Houston
2013,Thomas Hernandez,Terminated,Black,Male,Los Angeles,TX,BGBC,7438,2019-05-07,,,,2024-07-29,,Laid Off,Retirement,2022-09-05,Software Engineer,,,Terminated,,Marketing,Software,,Carrie Johnson,Headquarters,Los Angeles
2014,Stacy Brown,Active,Hispanic,Non-Binary,Seattle,TX,BGBC,9731,2024-07-30,,,,2024-11-26,,Resigned,Retirement,2024-09-03,Marketing Coordinator,,,Active,,Human Resources,Client Relations,,Harold Bowers,Headquarters,Seattle
2015,Michael Davis,Terminated,Hispanic,Male,New York,CA,BGBC,1281,2022-11-18,,,,,,,,2024-09-08,Marketing Coordinator,,,Terminated,,Sales,Client Relations,,William Jackson,Remote,New York
2016,Samuel Ruiz,On Leave,Hispanic,Female,Seattle,WA,BGBC,8414,2021-11-23,,,,,,,,2023-10-20,Software Engineer,,,On Leave,,Sales,Advertising,,Michael Patterson,Regional Office,Seattle
2017,Jesse Collins,Terminated,Hispanic,Female,New York,NY,BGBC,5384,2024-03-20,,,,2024-06-16,,Contract Ended,Involuntary,2024-08-13,Marketing Coordinator,,,Terminated,,Human Resources,Advertising,,Christina Scott,Remote,New York
2018,Bryan Guerra,On Leave,White,Male,Seattle,WA,BGBC,9717,2015-07-10,,,,2017-10-30,,Laid Off,Voluntary,2022-06-10,Marketing Coordinator,,,On Leave,,Sales,Recruitment,,Taylor Robertson,Regional Office,Seattle
2019,Jeffrey Anderson,Terminated,White,Non-Binary,Miami,WA,BGBC,4984,2022-06-25,,,,,,,,2023-01-16,Marketing Coordinator,,,Terminated,,Marketing,Software,,Christopher Rivera,Headquarters,Miami
2020,Rachael Walsh,Active,Black,Female,Los Angeles,TX,BGBC,3544,2024-12-13,,,,,,,,2025-01-13,Marketing Coordinator,,,Active,,Human Resources,Client Relations,,Katherine Brown,Remote,Los Angeles
2021,Michael Miller,Terminated,White,Female,Houston,WA,BGBC,5825,2025-01-22,,,,,,,,2025-02-09,Sales Representative,,,Terminated,,Engineering,Software,,Vincent Hogan,Remote,Houston
2022,Marisa Jones,On Leave,White,Female,Los Angeles,WA,BGBC,1858,2018-10-03,,,,2024-06-08,,Contract Ended,Involuntary,2023-01-06,Sales Representative,,,On Leave,,Human Resources,Advertising,,Rebekah Bennett,Headquarters,Los Angeles
2023,Carolyn Nielsen,Terminated,White,Non-Binary,Los Angeles,NY,BGBC,3875,2017-09-02,,,,,,,,2023-01-20,Software Engineer,,,Terminated,,Marketing,Client Relations,,Howard Shaw,Remote,Los Angeles
2024,Dakota Sanchez,On Leave,Black,Male,Los Angeles,TX,BGBC,9022,2017-08-19,,,,2018-03-23,,Contract Ended,Retirement,2018-12-03,HR Specialist,,,On Leave,,Marketing,Advertising,,Natalie Tate,Headquarters,Los Angeles
2025,Jessica Elliott,Active,Black,Male,New York,CA,BGBC,7644,2017-10-02,,,,2020-02-27,,Laid Off,Voluntary,2022-02-01,HR Specialist,,,Active,,Marketing,Client Relations,,William Cross,Headquarters,New York
2026,Tiffany Soto,On Leave,Hispanic,Male,Houston,TX,BGBC,4544,2024-10-31,,,,,,,,2024-11-23,Marketing Coordinator,,,On Leave,,Engineering,Recruitment,,Tonya Fleming,Regional Office,Houston
2027,Katherine Thompson,On Leave,Hispanic,Female,New York,FL,BGBC,1748,2017-12-21,,,,2022-01-29,,Laid Off,Retirement,2018-12-25,Sales Representative,,,On Leave,,Human Resources,Client Relations,,Nicole Pacheco,Headquarters,New York
2028,Dawn White,Active,White,Male,Miami,FL,BGBC,9072,2015-08-25,,,,,,,,2016-11-05,HR Specialist,,,Active,,Sales,Software,,Katie Fields,Regional Office,Miami
2029,Sharon Lynn,On Leave,White,Female,Houston,FL,BGBC,3853,2022-12-03,,,,,,,,2024-07-26,Sales Representative,,,On Leave,,Marketing,Software,,Jenny Richardson DVM,Remote,Houston
2030,Christopher Callahan,On Leave,White,Male,Houston,CA,BGBC,3599,2017-11-01,,,,,,,,2023-07-28,Software Engineer,,,On Leave,,Human Resources,Software,,Monique Harrell,Remote,Houston
2031,Allison Cooley,Active,Black,Female,Miami,NY,BGBC,2861,2021-02-27,,,,,,,,2021-10-23,Marketing Coordinator,,,Active,,Human Resources,Advertising,,Karen Hernandez,Regional Office,Miami
2032,Brenda Alvarado,On Leave,Black,Female,Los Angeles,CA,BGBC,9150,2017-10-05,,,,2024-04-05,,Contract Ended,Retirement,2021-08-09,Software Engineer,,,On Leave,,Sales,Client Relations,,Tyler Young,Headquarters,Los Angeles
2033,Mary Morris,On Leave,Hispanic,Male,Los Angeles,FL,BGBC,1528,2019-05-14,,,,2022-09-06,,Resigned,Retirement,2024-08-17,Software Engineer,,,On Leave,,Engineering,Client Relations,,Casey Guerra,Remote,Los Angeles
2034,Jacob Wilcox,Terminated,Hispanic,Non-Binary,Seattle,CA,BGBC,2117,2023-03-31,,,,2023-05-23,,Resigned,Voluntary,2025-01-16,Sales Representative,,,Terminated,,Marketing,Recruitment,,Barbara Lee,Regional Office,Seattle
2035,Amanda Kennedy,On Leave,Black,Male,Houston,WA,BGBC,1290,2021-09-02,,,,2022-01-22,,Resigned,Voluntary,2023-02-23,HR Specialist,,,On Leave,,Sales,Recruitment,,Ashley Montoya,Regional Office,Houston
2036,Todd Anderson,Terminated,Black,Female,New York,NY,BGBC,6934,2022-05-24,,,,,,,,2024-05-13,Sales Representative,,,Terminated,,Engineering,Recruitment,,Curtis Lee,Remote,New York
2037,Cynthia Thomas,Active,Black,Female,Miami,CA,BGBC,9714,2019-10-05,,,,2021-09-19,,Laid Off,Involuntary,2022-08-20,Sales Representative,,,Active,,Sales,Advertising,,Brittney Robinson,Regional Office,Miami
2038,Richard Yang,Terminated,White,Female,Houston,FL,BGBC,1309,2022-08-22,,,,,,,,2022-10-01,Software Engineer,,,Terminated,,Sales,Software,,Sara Olson,Headquarters,Houston
2039,Sergio Wallace,On Leave,White,Male,Houston,TX,BGBC,3018,2022-02-08,,,,2024-11-07,,Retired,Involuntary,2022-08-06,Marketing Coordinator,,,On Leave,,Human Resources,Client Relations,,Kaitlyn Beck,Headquarters,Houston
2040,Crystal Dominguez,On Leave,Black,Non-Binary,Los Angeles,FL,BGBC,5534,2024-09-30,,,,2024-11-19,,Retired,Retirement,2024-11-10,HR Specialist,,,On Leave,,Marketing,Recruitment,,Gina Garrison,Remote,Los Angeles
2041,Joshua Reynolds,Terminated,White,Female,Seattle,TX,BGBC,3346,2018-02-03,,,,2022-10-18,,Resigned,Involuntary,2019-09-21,HR Specialist,,,Terminated,,Sales,Client Relations,,Michael Thomas,Remote,Seattle
2042,Mackenzie Perez,On Leave,White,Female,Los Angeles,TX,BGBC,3307,2018-07-05,,,,,,,,2018-08-30,Marketing Coordinator,,,On Leave,,Human Resources,Recruitment,,Patricia Buchanan DVM,Headquarters,Los Angeles
2043,Brian Hess,Active,White,Male,New York,WA,BGBC,9663,2018-06-01,,,,2024-02-03,,Resigned,Involuntary,2024-11-07,HR Specialist,,,Active,,Engineering,Software,,Sheila Hatfield,Headquarters,New York
2044,Sharon Hamilton,Terminated,White,Non-Binary,Houston,FL,BGBC,9047,2017-01-18,,,,,,,,2021-03-06,Software Engineer,,,Terminated,,Engineering,Advertising,,Michelle Pacheco,Remote,Houston
2045,Thomas Washington,Terminated,Black,Female,Los Angeles,FL,BGBC,2539,2016-07-28,,,,,,,,2022-05-04,Software Engineer,,,Terminated,,Marketing,Software,,Sophia Guzman,Regional Office,Los Angeles
2046,Jessica West,Active,Hispanic,Male,Houston,NY,BGBC,2907,2023-11-28,,,,2024-11-15,,Contract Ended,Voluntary,2024-10-07,Sales Representative,,,Active,,Engineering,Recruitment,,Dawn Gates,Headquarters,Houston
2047,Eric Villanueva,Active,White,Non-Binary,Houston,NY,BGBC,3156,2021-02-07,,,,2022-07-07,,Retired,Retirement,2023-11-04,HR Specialist,,,Active,,Marketing,Client Relations,,Kimberly Gray,Headquarters,Houston
2048,Audrey Rodriguez,On Leave,Black,Female,Seattle,WA,BGBC,1790,2024-10-16,,,,2024-12-17,,Contract Ended,Retirement,2025-01-05,Marketing Coordinator,,,On Leave,,Marketing,Advertising,,Joshua Rosales,Headquarters,Seattle
2049,Sonia Fernandez,Terminated,Hispanic,Female,Miami,FL,BGBC,9369,2021-08-28,,,,2024-11-18,,Retired,Voluntary,2024-09-17,HR Specialist,,,Terminated,,Marketing,Software,,Christopher Nguyen,Remote,Miami
2050,Lauren Alexander,On Leave,Black,Non-Binary,Los Angeles,WA,BGBC,2207,2017-06-30,,,,,,,,2019-11-22,Sales Representative,,,On Leave,,Human Resources,Software,,Donald Brown,Remote,Los Angeles
2051,Robert Perkins,Active,Hispanic,Male,Seattle,TX,BGBC,3992,2023-10-12,,,,2024-01-01,,Resigned,Voluntary,2024-05-09,Marketing Coordinator,,,Active,,Sales,Recruitment,,David Ortiz,Regional Office,Seattle
2052,Lisa Golden,On Leave,White,Female,Miami,FL,BGBC,9025,2022-09-29,,,,,,,,2023-01-11,Sales Representative,,,On Leave,,Engineering,Advertising,,Jon Olson,Regional Office,Miami
2053,Emily Johnson,On Leave,Hispanic,Female,Miami,WA,BGBC,2924,2021-12-21,,,,,,,,2022-03-31,Marketing Coordinator,,,On Leave,,Engineering,Client Relations,,Amanda Jones,Regional Office,Miami
2054,Clayton Johnson,Active,Black,Female,Houston,FL,BGBC,4660,2023-08-02,,,,,,,,2024-06-01,Sales Representative,,,Active,,Sales,Recruitment,,Aaron Chang,Regional Office,Houston
2055,Jennifer Aguilar,Terminated,Hispanic,Male,New York,WA,BGBC,9830,2019-04-02,,,,,,,,2022-08-05,HR Specialist,,,Terminated,,Human Resources,Software,,Jonathan Jones,Headquarters,New York
2056,Hannah Morales,Active,Black,Non-Binary,Miami,FL,BGBC,1450,2019-07-26,,,,,,,,2024-04-15,HR Specialist,,,Active,,Engineering,Advertising,,Rebecca Jimenez,Headquarters,Miami
2057,Jennifer Brown,On Leave,Hispanic,Non-Binary,Houston,CA,BGBC,4500,2021-10-20,,,,,,,,2022-03-01,HR Specialist,,,On Leave,,Sales,Advertising,,Tonya Ross,Regional Office,Houston
2058,Madison Clay,On Leave,Hispanic,Non-Binary,Houston,TX,BGBC,7447,2019-06-12,,,,2020-10-17,,Laid Off,Voluntary,2023-02-25,HR Specialist,,,On Leave,,Sales,Software,,Christopher Blackwell,Remote,Houston
2059,Christopher Lee,Terminated,White,Female,New York,WA,BGBC,5964,2019-07-29,,,,2022-05-29,,Contract Ended,Voluntary,2024-03-28,Sales Representative,,,Terminated,,Sales,Client Relations,,Wayne Cisneros,Headquarters,New York
2060,Jeremy Hernandez,On Leave,Hispanic,Female,Seattle,TX,BGBC,1942,2024-06-17,,,,,,,,2024-12-08,Sales Representative,,,On Leave,,Sales,Client Relations,,Michael Cowan,Headquarters,Seattle
2061,Daniel Mckinney,Active,Hispanic,Non-Binary,Los Angeles,WA,BGBC,1770,2022-06-17,,,,2024-09-20,,Contract Ended,Retirement,2023-07-24,Marketing Coordinator,,,Active,,Engineering,Client Relations,,Lauren Brown,Remote,Los Angeles
2062,Brandon Howard,Active,Black,Female,Los Angeles,WA,BGBC,3348,2019-06-05,,,,,,,,2024-04-20,Sales Representative,,,Active,,Sales,Advertising,,Pamela Sullivan,Remote,Los Angeles
2063,Larry Silva,Active,Black,Non-Binary,Los Angeles,NY,BGBC,7567,2024-09-15,,,,,,,,2024-11-30,Software Engineer,,,Active,,Sales,Software,,Alfred Todd,Regional Office,Los Angeles
2064,Carolyn Mcdonald,Active,Hispanic,Female,Miami,NY,BGBC,8421,2020-12-08,,,,,,,,2024-09-30,HR Specialist,,,Active,,Marketing,Client Relations,,Shelley Bishop,Regional Office,Miami
2065,Derek Perez,Active,Black,Male,New York,CA,BGBC,3431,2015-12-12,,,,2018-10-04,,Resigned,Retirement,2018-11-20,Software Engineer,,,Active,,Human Resources,Recruitment,,Charles Raymond,Headquarters,New York
2066,Chelsey Hinton,On Leave,Black,Non-Binary,Houston,WA,BGBC,6003,2017-12-06,,,,,,,,2020-03-24,Software Engineer,,,On Leave,,Engineering,Software,,Brian Pierce,Headquarters,Houston
2067,Bill Young,Active,Black,Non-Binary,New York,WA,BGBC,3500,2024-11-03,,,,,,,,2024-12-16,Marketing Coordinator,,,Active,,Engineering,Advertising,,Michael Snyder,Remote,New York
2068,Luis Tapia,Terminated,Hispanic,Non-Binary,Houston,NY,BGBC,6491,2017-03-11,,,,2020-04-22,,Contract Ended,Voluntary,2021-08-06,Software Engineer,,,Terminated,,Marketing,Client Relations,,Michael Wilson,Remote,Houston
2069,Larry Nielsen,Active,White,Female,Seattle,NY,BGBC,5319,2017-01-08,,,,2020-12-24,,Resigned,Voluntary,2018-06-23,Software Engineer,,,Active,,Marketing,Recruitment,,Craig Ferguson,Regional Office,Seattle
2070,Brendan Reese,Active,White,Female,Houston,FL,BGBC,7488,2015-12-22,,,,,,,,2019-09-09,Software Engineer,,,Active,,Marketing,Recruitment,,Shannon Rosales,Remote,Houston
2071,Karen Henry,Terminated,White,Female,Seattle,FL,BGBC,4626,2022-03-25,,,,2023-08-02,,Resigned,Voluntary,2024-02-20,Software Engineer,,,Terminated,,Marketing,Software,,Jordan Williams,Remote,Seattle
2072,Tammy Long,Active,White,Female,Seattle,TX,BGBC,8256,2016-04-14,,,,2016-11-26,,Laid Off,Involuntary,2017-06-01,Software Engineer,,,Active,,Human Resources,Client Relations,,Kristen Wells,Headquarters,Seattle
2073,Nicholas Roberts,Terminated,Hispanic,Non-Binary,Miami,WA,BGBC,8429,2019-04-11,,,,,,,,2023-01-23,HR Specialist,,,Terminated,,Sales,Recruitment,,Kenneth Coleman,Remote,Miami
2074,Jill York,On Leave,White,Non-Binary,Miami,TX,BGBC,2072,2020-11-16,,,,,,,,2022-08-17,HR Specialist,,,On Leave,,Marketing,Client Relations,,Timothy Wallace,Remote,Miami
2075,Christopher Reese,On Leave,Hispanic,Non-Binary,New York,NY,BGBC,5256,2018-12-13,,,,2023-01-16,,Contract Ended,Voluntary,2020-12-09,HR Specialist,,,On Leave,,Sales,Advertising,,Bobby Hall,Headquarters,New York
2076,Michael Davis,On Leave,White,Female,New York,WA,BGBC,8412,2024-02-21,,,,2024-07-15,,Resigned,Voluntary,2024-08-29,Software Engineer,,,On Leave,,Human Resources,Client Relations,,Joshua Carter,Regional Office,New York
2077,Mary Franco,On Leave,Black,Male,Miami,CA,BGBC,9010,2015-02-20,,,,,,,,2018-06-24,HR Specialist,,,On Leave,,Human Resources,Advertising,,Cynthia Haley,Remote,Miami
2078,Thomas Sanders,Active,Black,Female,Miami,FL,BGBC,3735,2015-12-04,,,,,,,,2021-07-17,Software Engineer,,,Active,,Sales,Advertising,,Katherine Atkins,Headquarters,Miami
2079,Shannon Tyler,On Leave,White,Non-Binary,New York,CA,BGBC,5729,2020-12-03,,,,,,,,2023-08-02,Marketing Coordinator,,,On Leave,,Human Resources,Recruitment,,Andrew Hamilton,Regional Office,New York
2080,Susan Zimmerman,Active,Black,Female,Miami,TX,BGBC,2715,2016-07-03,,,,,,,,2024-06-12,Marketing Coordinator,,,Active,,Engineering,Software,,Justin Miller,Remote,Miami
2081,Kathy Crawford,On Leave,Black,Non-Binary,Houston,CA,BGBC,6747,2024-03-08,,,,2024-09-11,,Contract Ended,Voluntary,2024-11-02,Software Engineer,,,On Leave,,Engineering,Client Relations,,Andres Wells,Headquarters,Houston
2082,Samuel Ramsey,Active,White,Male,Houston,WA,BGBC,7913,2024-05-28,,,,2024-08-13,,Resigned,Retirement,2024-07-07,Sales Representative,,,Active,,Human Resources,Client Relations,,Anthony Mason,Headquarters,Houston
2083,Justin Smith,Active,White,Female,New York,WA,BGBC,2346,2024-04-22,,,,2024-06-23,,Resigned,Retirement,2024-12-23,Software Engineer,,,Active,,Marketing,Client Relations,,Rachel Lopez,Headquarters,New York
2084,Brianna Rios,Terminated,Black,Female,Houston,WA,BGBC,5493,2015-09-21,,,,,,,,2017-09-22,Software Engineer,,,Terminated,,Sales,Client Relations,,Christopher Jenkins,Remote,Houston
2085,Anthony Kelly,On Leave,White,Female,Los Angeles,NY,BGBC,3029,2022-09-12,,,,2025-01-21,,Contract Ended,Voluntary,2023-06-12,Sales Representative,,,On Leave,,Sales,Client Relations,,Bryan Ritter,Headquarters,Los Angeles
2086,Margaret Richard,Terminated,Black,Male,Seattle,TX,BGBC,3624,2023-04-26,,,,,,,,2023-06-05,Software Engineer,,,Terminated,,Human Resources,Recruitment,,Michael Coleman,Headquarters,Seattle
2087,Christie Graves,On Leave,Black,Female,Seattle,FL,BGBC,5828,2016-06-23,,,,,,,,2019-08-17,HR Specialist,,,On Leave,,Sales,Advertising,,Gregory Shaw,Regional Office,Seattle
2088,Patricia Watts,On Leave,White,Male,Seattle,FL,BGBC,2511,2020-07-18,,,,2021-07-26,,Retired,Involuntary,2022-12-23,HR Specialist,,,On Leave,,Marketing,Advertising,,Douglas Harris,Regional Office,Seattle
2089,Nicholas Palmer,On Leave,White,Female,Los Angeles,FL,BGBC,3768,2019-03-12,,,,,,,,2022-04-16,HR Specialist,,,On Leave,,Sales,Advertising,,Mary Wilson,Remote,Los Angeles
2090,Nancy Evans,Active,White,Female,New York,NY,BGBC,2525,2020-07-22,,,,,,,,2022-02-25,Marketing Coordinator,,,Active,,Sales,Software,,Jennifer Johnson,Remote,New York
2091,Katelyn Lee,On Leave,Black,Non-Binary,Houston,TX,BGBC,3390,2018-07-19,,,,2024-07-07,,Laid Off,Voluntary,2023-07-08,Sales Representative,,,On Leave,,Human Resources,Client Relations,,Alexandra Ramos,Remote,Houston
2092,James Harris,Terminated,White,Non-Binary,Miami,CA,BGBC,8717,2017-08-08,,,,2023-02-05,,Resigned,Involuntary,2024-09-22,HR Specialist,,,Terminated,,Engineering,Client Relations,,Maria Rios,Headquarters,Miami
2093,Micheal Stewart,Active,Black,Non-Binary,Houston,WA,BGBC,7265,2019-10-07,,,,,,,,2022-08-21,Marketing Coordinator,,,Active,,Marketing,Advertising,,Bryan Harris,Remote,Houston
2094,Jennifer Mclean,Terminated,White,Non-Binary,Houston,FL,BGBC,1545,2020-10-20,,,,,,,,2023-02-10,Marketing Coordinator,,,Terminated,,Sales,Recruitment,,Megan Griffin,Headquarters,Houston
2095,Stephanie Bryan,Active,White,Non-Binary,Los Angeles,CA,BGBC,8942,2018-09-19,,,,2022-05-15,,Contract Ended,Voluntary,2020-10-10,Sales Representative,,,Active,,Engineering,Software,,Thomas Anderson,Headquarters,Los Angeles
2096,Rachael Poole,Active,White,Male,New York,WA,BGBC,3344,2016-04-09,,,,,,,,2018-10-13,Software Engineer,,,Active,,Sales,Client Relations,,Joshua Anderson,Headquarters,New York
